,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Seating_Capacity,Type
0,Tata,Nano Genx,Xt,292667,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,Manual
1,Tata,Nano Genx,Xe,236447,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,Manual
2,Tata,Nano Genx,Emax Xm,296661,624,2,RWD (Rear Wheel Drive),15,CNG,1652,3164,1750,Hatchback,4,,4,Manual
3,Tata,Nano Genx,Xta,334768,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,Automatic
4,Tata,Nano Genx,Xm,272223,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,Manual
5,Tata,Nano Genx,Xma,314815,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,Automatic
6,Datsun,Redi-Go,D,279650,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,Manual
7,Datsun,Redi-Go,T,351832,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,Manual
8,Datsun,Redi-Go,A,333419,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,Manual
9,Datsun,Redi-Go,S,362000,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,Manual
10,Datsun,Redi-Go,1.0 S,390000,999,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,,5,Manual
11,Datsun,Redi-Go,1.0 S Amt,437065,999,3,FWD (Front Wheel Drive),28,Petrol,1541,3429,1560,Hatchback,5,,5,Automatic
12,Renault,Kwid,Rxe 0.8,353290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
13,Renault,Kwid,Std 0.8,283290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
14,Renault,Kwid,Rxl 0.8,383290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
15,Renault,Kwid,Rxt 0.8,413290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1580,Hatchback,5,25.17,5,Manual
16,Renault,Kwid,Rxt 1.0,433290,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
17,Renault,Kwid,Climber 1.0 Mt,454490,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
18,Renault,Kwid,Rxt Amt 1.0,463290,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Automatic
19,Renault,Kwid,Climber Amt 1.0,484490,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Automatic
20,Renault,Kwid,Rxt (O) 1.0,440990,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Automatic
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Manual
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,Automatic
24,Maruti Suzuki,Eeco,5 Str,352136,1196,4,RWD (Rear Wheel Drive),40,Petrol,1800,3675,1475,MPV,5,12,5,Manual
25,Maruti Suzuki,Eeco,7 Str,380573,1196,4,FWD (Front Wheel Drive),40,Petrol,1800,3675,1475,MPV,5,12,7,Manual
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196,4,RWD (Rear Wheel Drive),40,Petrol,1800,3675,1475,MPV,5,11,5,Manual
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196,4,RWD (Rear Wheel Drive),40,CNG,1800,3675,1475,MPV,5,,5,Manual
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196,4,RWD (Rear Wheel Drive),40,CNG,1800,3675,1475,MPV,5,,5,Manual
29,Maruti Suzuki,Alto K10,Lxi,377588,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545,1490,Hatchback,5,14,5,Manual
30,Maruti Suzuki,Alto K10,Vxi,394036,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545,1490,Hatchback,5,14,5,Manual
31,Maruti Suzuki,Alto K10,Lx,360843,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545,1490,Hatchback,5,19,5,Manual
32,Maruti Suzuki,Alto K10,Vxi (O),407238,998,3,FWD (Front Wheel Drive),35,Petrol,1460,3620,1475,Hatchback,5,14,5,Manual
33,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998,3,FWD (Front Wheel Drive),35,CNG,1475,3545,1490,Hatchback,5,,5,Manual
34,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545,1490,Hatchback,5,14,5,Automatic
35,Datsun,Go,D,374990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,,5,Manual
36,Datsun,Go,T,468229,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,,5,Manual
37,Datsun,Go,T (O),502492,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,20.6,5,Manual
38,Datsun,Go,A (O),499990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,20.6,5,Manual
39,Datsun,Go,A,469990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,20.6,5,Manual
40,Datsun,Go,T Vdc,528464,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,,5,Manual
41,Datsun,Go,T (O) Vdc,553015,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,20.6,5,Manual
42,Datsun,Go,T Cvt,594464,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,,5,Manual
43,Datsun,Go,T (O) Cvt,618015,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788,1636,Hatchback,5,20.6,5,Manual
44,Maruti Suzuki,Celerio Tour,H2,422444,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600,1600,Hatchback,5,23,5,Manual
45,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998,3,FWD (Front Wheel Drive),60,CNG,1560,3695,1600,Hatchback,5,,5,Manual
46,Hyundai,Santro,Era Mt,429990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610,1645,Hatchback,4,,5,Manual
47,Hyundai,Santro,Magna Mt,503990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610,1645,Hatchback,4,,5,Manual
48,Hyundai,Santro,Magna Mt Cng,547990,1086,4,FWD (Front Wheel Drive),35,CNG,1560,3610,1645,Hatchback,4,,5,Manual
49,Hyundai,Santro,Magna Amt,530990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610,1645,Hatchback,4,,5,AMT
50,Hyundai,Santro,Sportz Mt,512990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610,1645,Hatchback,4,,5,Manual
51,Hyundai,Santro,Sportz Mt Cng,578990,1086,4,FWD (Front Wheel Drive),60,CNG,1560,3610,1645,Hatchback,4,,5,Manual
52,Hyundai,Santro,Sportz Amt,570990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610,1645,Hatchback,4,,5,AMT
